ref_tag,source_file,question_ordinal,start_line,end_line,popularity_score,answer_ref
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_05,computer_science/design_patterns.md,5,263,314,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L263-L314
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_06,computer_science/design_patterns.md,6,315,373,28,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L315-L373
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_07,computer_science/design_patterns.md,7,374,429,12,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L374-L429
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_08,computer_science/design_patterns.md,8,430,487,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L430-L487
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_09,computer_science/design_patterns.md,9,488,544,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L488-L544
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_10,computer_science/design_patterns.md,10,545,605,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L545-L605
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_11,computer_science/design_patterns.md,11,606,648,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L606-L648
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_12,computer_science/design_patterns.md,12,649,704,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L649-L704
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_13,computer_science/design_patterns.md,13,705,758,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L705-L758
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_14,computer_science/design_patterns.md,14,759,811,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L759-L811
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_15,computer_science/design_patterns.md,15,812,862,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L812-L862
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_16,computer_science/design_patterns.md,16,863,913,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L863-L913
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_17,computer_science/design_patterns.md,17,914,959,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L914-L959
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_18,computer_science/design_patterns.md,18,960,1015,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L960-L1015
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_19,computer_science/design_patterns.md,19,1016,1068,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L1016-L1068
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_20,computer_science/design_patterns.md,20,1069,1127,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L1069-L1127
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_21,computer_science/design_patterns.md,21,1128,1201,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L1128-L1201
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_22,computer_science/design_patterns.md,22,1202,1297,16,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L1202-L1297
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_23,computer_science/design_patterns.md,23,1298,1362,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L1298-L1362
TV_COMPUTER_SCIENCE_DESIGN_PATTERNS_24,computer_science/design_patterns.md,24,1363,1444,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/design_patterns.md#L1363-L1444
TV_COMPUTER_SCIENCE_OOP_01,computer_science/oop.md,1,3,24,37,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/oop.md#L3-L24
TV_COMPUTER_SCIENCE_OOP_02,computer_science/oop.md,2,25,77,44,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/oop.md#L25-L77
TV_COMPUTER_SCIENCE_OOP_03,computer_science/oop.md,3,78,157,94,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/oop.md#L78-L157
TV_COMPUTER_SCIENCE_OOP_04,computer_science/oop.md,4,158,243,48,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/oop.md#L158-L243
TV_COMPUTER_SCIENCE_OOP_05,computer_science/oop.md,5,244,306,34,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/oop.md#L244-L306
TV_COMPUTER_SCIENCE_OOP_06,computer_science/oop.md,6,307,406,57,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/oop.md#L307-L406
TV_COMPUTER_SCIENCE_OOP_07,computer_science/oop.md,7,407,474,16,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/oop.md#L407-L474
TV_COMPUTER_SCIENCE_PROGRAMMING_PRINCIPLES_01,computer_science/programming_principles.md,1,3,22,15,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/programming_principles.md#L3-L22
TV_COMPUTER_SCIENCE_PROGRAMMING_PRINCIPLES_02,computer_science/programming_principles.md,2,23,43,15,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/programming_principles.md#L23-L43
TV_COMPUTER_SCIENCE_PROGRAMMING_PRINCIPLES_03,computer_science/programming_principles.md,3,44,93,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/programming_principles.md#L44-L93
TV_COMPUTER_SCIENCE_PROGRAMMING_PRINCIPLES_04,computer_science/programming_principles.md,4,94,105,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/programming_principles.md#L94-L105
TV_COMPUTER_SCIENCE_PROGRAMMING_PRINCIPLES_05,computer_science/programming_principles.md,5,106,210,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/programming_principles.md#L106-L210
TV_COMPUTER_SCIENCE_PROGRAMMING_PRINCIPLES_06,computer_science/programming_principles.md,6,211,239,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/programming_principles.md#L211-L239
TV_COMPUTER_SCIENCE_PROGRAMMING_PRINCIPLES_07,computer_science/programming_principles.md,7,240,267,16,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/programming_principles.md#L240-L267
TV_COMPUTER_SCIENCE_SOLID_01,computer_science/solid.md,1,3,53,45,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/solid.md#L3-L53
TV_COMPUTER_SCIENCE_SOLID_02,computer_science/solid.md,2,54,136,36,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/solid.md#L54-L136
TV_COMPUTER_SCIENCE_SOLID_03,computer_science/solid.md,3,137,191,20,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/solid.md#L137-L191
TV_COMPUTER_SCIENCE_SOLID_04,computer_science/solid.md,4,192,277,23,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/solid.md#L192-L277
TV_COMPUTER_SCIENCE_SOLID_05,computer_science/solid.md,5,278,359,14,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/solid.md#L278-L359
TV_COMPUTER_SCIENCE_SOLID_06,computer_science/solid.md,6,360,459,27,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/solid.md#L360-L459
TV_COMPUTER_SCIENCE_TESTING_01,computer_science/testing.md,1,3,48,25,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/testing.md#L3-L48
TV_COMPUTER_SCIENCE_TESTING_02,computer_science/testing.md,2,49,69,20,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/testing.md#L49-L69
TV_COMPUTER_SCIENCE_TESTING_03,computer_science/testing.md,3,70,97,14,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/testing.md#L70-L97
TV_COMPUTER_SCIENCE_TESTING_04,computer_science/testing.md,4,98,119,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/testing.md#L98-L119
TV_COMPUTER_SCIENCE_TESTING_05,computer_science/testing.md,5,120,146,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/testing.md#L120-L146
TV_COMPUTER_SCIENCE_TESTING_06,computer_science/testing.md,6,147,162,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/testing.md#L147-L162
TV_COMPUTER_SCIENCE_TESTING_07,computer_science/testing.md,7,163,174,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/testing.md#L163-L174
TV_COMPUTER_SCIENCE_TESTING_08,computer_science/testing.md,8,175,189,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/testing.md#L175-L189
TV_COMPUTER_SCIENCE_TESTING_09,computer_science/testing.md,9,190,211,29,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/testing.md#L190-L211
TV_COMPUTER_SCIENCE_TESTING_10,computer_science/testing.md,10,212,346,17,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/testing.md#L212-L346
TV_COMPUTER_SCIENCE_TESTING_11,computer_science/testing.md,11,347,376,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/testing.md#L347-L376
TV_COMPUTER_SCIENCE_TESTING_12,computer_science/testing.md,12,377,396,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/testing.md#L377-L396
TV_COMPUTER_SCIENCE_TESTING_13,computer_science/testing.md,13,397,406,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/testing.md#L397-L406
TV_COMPUTER_SCIENCE_TESTING_14,computer_science/testing.md,14,407,437,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/testing.md#L407-L437
TV_COMPUTER_SCIENCE_TESTING_15,computer_science/testing.md,15,438,451,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/computer_science/testing.md#L438-L451
TV_DEVELOPMENT_CI_CD_01,development/ci_cd.md,1,3,60,20,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/ci_cd.md#L3-L60
TV_DEVELOPMENT_CI_CD_02,development/ci_cd.md,2,61,95,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/ci_cd.md#L61-L95
TV_DEVELOPMENT_CI_CD_03,development/ci_cd.md,3,96,128,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/ci_cd.md#L96-L128
TV_DEVELOPMENT_GIT_01,development/git.md,1,3,57,16,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/git.md#L3-L57
TV_DEVELOPMENT_GIT_02,development/git.md,2,58,70,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/git.md#L58-L70
TV_DEVELOPMENT_GIT_03,development/git.md,3,71,108,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/git.md#L71-L108
TV_DEVELOPMENT_GIT_04,development/git.md,4,109,164,13,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/git.md#L109-L164
TV_DEVELOPMENT_GIT_05,development/git.md,5,165,204,18,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/git.md#L165-L204
TV_DEVELOPMENT_GIT_06,development/git.md,6,205,223,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/git.md#L205-L223
TV_DEVELOPMENT_GIT_07,development/git.md,7,224,255,15,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/git.md#L224-L255
TV_DEVELOPMENT_GIT_08,development/git.md,8,256,276,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/git.md#L256-L276
TV_DEVELOPMENT_GIT_09,development/git.md,9,277,297,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/git.md#L277-L297
TV_DEVELOPMENT_GIT_10,development/git.md,10,298,317,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/git.md#L298-L317
TV_DEVELOPMENT_GIT_11,development/git.md,11,318,323,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/git.md#L318-L323
TV_DEVELOPMENT_SDLC_01,development/sdlc.md,1,3,88,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/sdlc.md#L3-L88
TV_DEVELOPMENT_SDLC_02,development/sdlc.md,2,89,122,14,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/sdlc.md#L89-L122
TV_DEVELOPMENT_SDLC_03,development/sdlc.md,3,123,144,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/sdlc.md#L123-L144
TV_DEVELOPMENT_SDLC_04,development/sdlc.md,4,145,198,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/sdlc.md#L145-L198
TV_DEVELOPMENT_SDLC_05,development/sdlc.md,5,199,222,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/sdlc.md#L199-L222
TV_DEVELOPMENT_SDLC_06,development/sdlc.md,6,223,228,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/sdlc.md#L223-L228
TV_DEVELOPMENT_SDLC_07,development/sdlc.md,7,229,262,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/development/sdlc.md#L229-L262
TV_FRONTEND_CSS_01,frontend/css.md,1,3,46,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/css.md#L3-L46
TV_FRONTEND_CSS_02,frontend/css.md,2,47,86,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/css.md#L47-L86
TV_FRONTEND_CSS_03,frontend/css.md,3,87,97,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/css.md#L87-L97
TV_FRONTEND_CSS_04,frontend/css.md,4,98,107,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/css.md#L98-L107
TV_FRONTEND_DOM_01,frontend/dom.md,1,3,49,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/dom.md#L3-L49
TV_FRONTEND_DOM_02,frontend/dom.md,2,50,87,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/dom.md#L50-L87
TV_FRONTEND_FRONT_END_01,frontend/front_end.md,1,3,16,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/front_end.md#L3-L16
TV_FRONTEND_FRONT_END_02,frontend/front_end.md,2,17,30,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/front_end.md#L17-L30
TV_FRONTEND_FRONT_END_03,frontend/front_end.md,3,31,45,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/front_end.md#L31-L45
TV_FRONTEND_HTML_01,frontend/html.md,1,3,41,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/html.md#L3-L41
TV_FRONTEND_HTML_02,frontend/html.md,2,42,93,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/html.md#L42-L93
TV_FRONTEND_HTML_03,frontend/html.md,3,94,106,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/html.md#L94-L106
TV_FRONTEND_HTML_04,frontend/html.md,4,107,123,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/html.md#L107-L123
TV_FRONTEND_JAVASCRIPT_01,frontend/javascript.md,1,3,28,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L3-L28
TV_FRONTEND_JAVASCRIPT_02,frontend/javascript.md,2,29,59,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L29-L59
TV_FRONTEND_JAVASCRIPT_03,frontend/javascript.md,3,60,111,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L60-L111
TV_FRONTEND_JAVASCRIPT_04,frontend/javascript.md,4,112,145,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L112-L145
TV_FRONTEND_JAVASCRIPT_05,frontend/javascript.md,5,146,166,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L146-L166
TV_FRONTEND_JAVASCRIPT_06,frontend/javascript.md,6,167,207,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L167-L207
TV_FRONTEND_JAVASCRIPT_07,frontend/javascript.md,7,208,244,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L208-L244
TV_FRONTEND_JAVASCRIPT_08,frontend/javascript.md,8,245,275,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L245-L275
TV_FRONTEND_JAVASCRIPT_09,frontend/javascript.md,9,276,312,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L276-L312
TV_FRONTEND_JAVASCRIPT_10,frontend/javascript.md,10,313,349,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L313-L349
TV_FRONTEND_JAVASCRIPT_11,frontend/javascript.md,11,350,386,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L350-L386
TV_FRONTEND_JAVASCRIPT_12,frontend/javascript.md,12,387,422,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L387-L422
TV_FRONTEND_JAVASCRIPT_13,frontend/javascript.md,13,423,452,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L423-L452
TV_FRONTEND_JAVASCRIPT_14,frontend/javascript.md,14,453,484,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L453-L484
TV_FRONTEND_JAVASCRIPT_15,frontend/javascript.md,15,485,516,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L485-L516
TV_FRONTEND_JAVASCRIPT_16,frontend/javascript.md,16,517,545,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L517-L545
TV_FRONTEND_JAVASCRIPT_17,frontend/javascript.md,17,546,579,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L546-L579
TV_FRONTEND_JAVASCRIPT_18,frontend/javascript.md,18,580,618,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L580-L618
TV_FRONTEND_JAVASCRIPT_19,frontend/javascript.md,19,619,653,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L619-L653
TV_FRONTEND_JAVASCRIPT_20,frontend/javascript.md,20,654,713,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/frontend/javascript.md#L654-L713
TV_INFRASTRUCTURE_AWS_01,infrastructure/aws.md,1,3,29,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/infrastructure/aws.md#L3-L29
TV_INFRASTRUCTURE_AWS_02,infrastructure/aws.md,2,30,44,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/infrastructure/aws.md#L30-L44
TV_INFRASTRUCTURE_DATABASE_01,infrastructure/database.md,1,3,22,41,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/infrastructure/database.md#L3-L22
TV_INFRASTRUCTURE_DATABASE_02,infrastructure/database.md,2,23,33,21,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/infrastructure/database.md#L23-L33
